Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID,Novel,Notes
The Professor's House,1925,"Cather, Willa",1873,1947,1900-1999,244,5.04092,cather_the-professors-house_1925,65465,TRUE,
Pierre,1852,"Melville, Herman",1819,1891,1800-1899,302,4.525489,melville_pierre_1852,34970,TRUE,
Passing,1929,"Larsen, Nella",1893,1963,1900-1999,215,4.413023,larsen_passing_1929,,TRUE,
Edgar Huntly,1799,"Brown, Charles Brockden",1771,1810,1700-1799,110,4.310351,brown_edgar-huntly_1799,8223,TRUE,
The Age of Innocence,1920,"Wharton, Edith",1862,1937,1900-1999,207,4.23981,wharton_the-age-of-innocence_1920,541,TRUE,
The Pilgrim's Progress,1678,"Bunyan, John",1628,1688,1600-1699,33,4.225351,bunyan_the-pilgrims-progress_1678,,FALSE,"Prose allegory, not a novel"
Quicksand,1928,"Larsen, Nella",1893,1963,1900-1999,188,3.828429,larsen_quicksand_1928,,TRUE,
The Confidence-Man,1857,"Melville, Herman",1819,1891,1800-1899,249,3.698736,melville_the-confidenceman_1857,21816,TRUE,
The Blithedale Romance,1852,"Hawthorne, Nathaniel",1804,1864,1800-1899,243,3.605141,hawthorne_the-blithedale-romance_1852,2081,TRUE,
A Connecticut Yankee in King Arthur's Court,1889,"Twain, Mark",1835,1910,1800-1899,240,3.558344,twain_a-connecticut-yankee-in-king_1889,19506,TRUE,
Typee,1846,"Melville, Herman",1819,1891,1800-1899,236,3.495947,melville_typee_1846,1900,TRUE,Fictionalized travel narrative; partly autobiographical
The House of the Seven Gables,1851,"Hawthorne, Nathaniel",1804,1864,1800-1899,231,3.417952,hawthorne_the-house-of-the-seven-gables_1851,77,TRUE,
Little Women,1868,"Alcott, Louisa May",1832,1888,1800-1899,230,3.402353,alcott_little-women_1868,37106,TRUE,
The Red Badge of Courage,1895,"Crane, Stephen",1871,1900,1800-1899,230,3.402353,crane_the-red-badge-of-courage_1895,73,TRUE,
The Marble Faun,1860,"Hawthorne, Nathaniel",1804,1864,1800-1899,223,3.293159,hawthorne_the-marble-faun_1860,2181,TRUE,
The Marble Faun,1860,"Hawthorne, Nathaniel",1804,1864,1800-1899,223,3.293159,hawthorne_the-marble-faun_1860,2182,TRUE,
The Autobiography of an Ex-Colored Man,1912,"Johnson, James Weldon",1871,1938,1900-1999,160,3.222184,johnson_the-autobiography-of-an_1912,11012,TRUE,Fictional autobiography
Death Comes for the Archbishop,1927,"Cather, Willa",1873,1947,1900-1999,158,3.17888,cather_death-comes-for-the-archbishop_1927,69730,TRUE,
The Coquette,1797,"Foster, Hannah Webster",1759,1840,1700-1799,82,3.114613,foster_the-coquette_1797,12431,TRUE,Epistolary novel
The Song of the Lark,1915,"Cather, Willa",1873,1947,1900-1999,149,2.984016,cather_the-song-of-the-lark_1915,44,TRUE,
The Narrative of Arthur Gordon Pym of Nantucket,1838,"Poe, Edgar Allan",1809,1849,1800-1899,203,2.981177,poe_the-narrative-of-arthur_1838,51060,TRUE,
The Tragedy of Pudd'nhead Wilson,1894,"Twain, Mark",1835,1910,1800-1899,198,2.903181,twain_the-tragedy-of-puddnhead_1894,102,TRUE,
The Bostonians,1886,"James, Henry, Jr.",1843,1916,1800-1899,194,2.840785,james_the-bostonians_1886,19717,TRUE,
The Bostonians,1886,"James, Henry, Jr.",1843,1916,1800-1899,194,2.840785,james_the-bostonians_1886,19718,TRUE,
Charlotte Temple,1791,"Rowson, Susanna",1762,1824,1700-1799,74,2.772973,rowson_charlotte-temple_1791,171,TRUE,
The Marrow of Tradition,1901,"Chesnutt, Charles W.",1858,1932,1900-1999,134,2.659241,chesnutt_the-marrow-of-tradition_1901,11228,TRUE,
The Last of the Mohicans,1826,"Cooper, James Fenimore",1789,1851,1800-1899,182,2.653595,cooper_the-last-of-the-mohicans_1826,940,TRUE,
One of Ours,1922,"Cather, Willa",1873,1947,1900-1999,132,2.615938,cather_one-of-ours_1922,2369,TRUE,
"Look Homeward, Angel",1929,"Wolfe, Thomas",1900,1938,1900-1999,131,2.594286,wolfe_look-homeward-angel_1929,,TRUE,
Herland,1915,"Gilman, Charlotte Perkins",1860,1935,1900-1999,129,2.550983,gilman_herland_1915,32,TRUE,Utopian novel
O Pioneers!,1913,"Cather, Willa",1873,1947,1900-1999,128,2.529331,cather_o-pioneers_1913,24,TRUE,
The Adventures of Tom Sawyer,1876,"Twain, Mark",1835,1910,1800-1899,174,2.528802,twain_the-adventures-of-tom-sawyer_1876,74,TRUE,
An American Tragedy,1925,"Dreiser, Theodore",1871,1945,1900-1999,127,2.50768,dreiser_an-american-tragedy_1925,75181,TRUE,
The Custom of the Country,1913,"Wharton, Edith",1862,1937,1900-1999,116,2.269512,wharton_the-custom-of-the-country_1913,,TRUE,
The Octopus,1901,"Norris, Frank",1870,1902,1900-1999,110,2.139602,norris_the-octopus_1901,268,TRUE,
Arthur Mervyn,1799,"Brown, Charles Brockden",1771,1810,1700-1799,59,2.132399,brown_arthur-mervyn_1799,18508,TRUE,
Looking Backward,1888,"Bellamy, Edward",1850,1898,1800-1899,147,2.107626,bellamy_looking-backward_1888,624,TRUE,Utopian novel
The Secret Garden,1911,"Burnett, Frances Hodgson",1849,1924,1900-1999,108,2.096299,burnett_the-secret-garden_1911,17396,TRUE,
Manhattan Transfer,1925,"Dos Passos, John",1896,1970,1900-1999,106,2.052996,dospassos_manhattan-transfer_1925,71853,TRUE,
The Faerie Queene,1590,"Spenser, Edmund",1552,1599,1500-1599,15,2.036116,spenser_the-faerie-queene_1590,6930,FALSE,Epic poem
A Lost Lady,1923,"Cather, Willa",1873,1947,1900-1999,100,1.923086,cather_a-lost-lady_1923,65636,TRUE,Novella
McTeague,1899,"Norris, Frank",1870,1902,1800-1899,135,1.920437,norris_mcteague_1899,165,TRUE,
Ormond,1799,"Brown, Charles Brockden",1771,1810,1700-1799,50,1.748055,brown_ormond_1799,36289,TRUE,
Ormond,1799,"Brown, Charles Brockden",1771,1810,1700-1799,50,1.748055,brown_ormond_1799,36290,TRUE,
Ormond,1799,"Brown, Charles Brockden",1771,1810,1700-1799,50,1.748055,brown_ormond_1799,36291,TRUE,
Main Street,1920,"Lewis, Sinclair",1885,1951,1900-1999,91,1.728221,lewis_main-street_1920,543,TRUE,
What Maisie Knew,1897,"James, Henry, Jr.",1843,1916,1800-1899,120,1.68645,james_what-maisie-knew_1897,7118,TRUE,
The Princess Casamassima,1886,"James, Henry, Jr.",1843,1916,1800-1899,120,1.68645,james_the-princess-casamassima_1886,64599,TRUE,
The Pioneers,1823,"Cooper, James Fenimore",1789,1851,1800-1899,115,1.608455,cooper_the-pioneers_1823,2275,TRUE,
Babbitt,1922,"Lewis, Sinclair",1885,1951,1900-1999,84,1.57666,lewis_babbitt_1922,1156,TRUE,
The Aspern Papers,1888,"James, Henry, Jr.",1843,1916,1800-1899,112,1.561658,james_the-aspern-papers_1888,211,TRUE,Novella
Ethan Frome,1911,"Wharton, Edith",1862,1937,1900-1999,83,1.555008,wharton_ethan-frome_1911,4517,TRUE,Novella
The Maltese Falcon,1930,"Hammett, Dashiell",1894,1961,1900-1999,82,1.533357,hammett_the-maltese-falcon_1930,77600,TRUE,
Of One Blood,1902,"Hopkins, Pauline E.",1859,1930,1900-1999,81,1.511705,hopkins_of-one-blood_1902,69255,TRUE,Serialized novel
The Power of Sympathy,1789,"Brown, William Hill",1765,1793,1700-1799,43,1.44912,brown_the-power-of-sympathy_1789,69250,TRUE,Epistolary novel
Summer,1917,"Wharton, Edith",1862,1937,1900-1999,78,1.44675,wharton_summer_1917,166,TRUE,Novella
The Virginian,1902,"Wister, Owen",1860,1938,1900-1999,76,1.403447,wister_the-virginian_1902,1298,TRUE,
Maggie,1893,"Crane, Stephen",1871,1900,1800-1899,99,1.358869,crane_maggie_1893,447,TRUE,Novella
The American,1877,"James, Henry, Jr.",1843,1916,1800-1899,99,1.358869,james_the-american_1877,177,TRUE,
Modern Chivalry,1792,"Brackenridge, Hugh Henry",1748,1816,1700-1799,40,1.321006,brackenridge_modern-chivalry_1792,,TRUE,"Picaresque novel, published in installments"
Mardi,1849,"Melville, Herman",1819,1891,1800-1899,94,1.280874,melville_mardi_1849,13720,TRUE,
Mardi,1849,"Melville, Herman",1819,1891,1800-1899,94,1.280874,melville_mardi_1849,13721,TRUE,
The Rise of Silas Lapham,1885,"Howells, William Dean",1837,1920,1800-1899,92,1.249675,howells_the-rise-of-silas-lapham_1885,154,TRUE,
The Making of Americans,1925,"Stein, Gertrude",1874,1946,1900-1999,68,1.230234,stein_the-making-of-americans_1925,,TRUE,Experimental novel
Hope Leslie,1827,"Sedgwick, Catharine Maria",1789,1867,1800-1899,89,1.202878,sedgwick_hope-leslie_1827,76028,TRUE,
Hope Leslie,1827,"Sedgwick, Catharine Maria",1789,1867,1800-1899,89,1.202878,sedgwick_hope-leslie_1827,76018,TRUE,
