Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID
Herland,1915,"Gilman, Charlotte Perkins",1860,1935,1900-1999,129,2.550983,gilman_herland_1915,32
O Pioneers!,1913,"Cather, Willa",1873,1947,1900-1999,128,2.529331,cather_o-pioneers_1913,24
The Adventures of Tom Sawyer,1876,"Twain, Mark",1835,1910,1800-1899,174,2.528802,twain_the-adventures-of-tom-sawyer_1876,74
An American Tragedy,1925,"Dreiser, Theodore",1871,1945,1900-1999,127,2.50768,dreiser_an-american-tragedy_1925,75181
The Custom of the Country,1913,"Wharton, Edith",1862,1937,1900-1999,116,2.269512,wharton_the-custom-of-the-country_1913,
The Octopus,1901,"Norris, Frank",1870,1902,1900-1999,110,2.139602,norris_the-octopus_1901,268
Arthur Mervyn,1799,"Brown, Charles Brockden",1771,1810,1700-1799,59,2.132399,brown_arthur-mervyn_1799,18508
Looking Backward,1888,"Bellamy, Edward",1850,1898,1800-1899,147,2.107626,bellamy_looking-backward_1888,624
The Secret Garden,1911,"Burnett, Frances Hodgson",1849,1924,1900-1999,108,2.096299,burnett_the-secret-garden_1911,17396
Manhattan Transfer,1925,"Dos Passos, John",1896,1970,1900-1999,106,2.052996,dospassos_manhattan-transfer_1925,71853
The Faerie Queene,1590,"Spenser, Edmund",1552,1599,1500-1599,15,2.036116,spenser_the-faerie-queene_1590,6930
A Lost Lady,1923,"Cather, Willa",1873,1947,1900-1999,100,1.923086,cather_a-lost-lady_1923,65636
McTeague,1899,"Norris, Frank",1870,1902,1800-1899,135,1.920437,norris_mcteague_1899,165
Ormond,1799,"Brown, Charles Brockden",1771,1810,1700-1799,50,1.748055,brown_ormond_1799,36289
Ormond,1799,"Brown, Charles Brockden",1771,1810,1700-1799,50,1.748055,brown_ormond_1799,36290
Ormond,1799,"Brown, Charles Brockden",1771,1810,1700-1799,50,1.748055,brown_ormond_1799,36291
Main Street,1920,"Lewis, Sinclair",1885,1951,1900-1999,91,1.728221,lewis_main-street_1920,543
What Maisie Knew,1897,"James, Henry, Jr.",1843,1916,1800-1899,120,1.68645,james_what-maisie-knew_1897,7118
The Princess Casamassima,1886,"James, Henry, Jr.",1843,1916,1800-1899,120,1.68645,james_the-princess-casamassima_1886,64599
The Pioneers,1823,"Cooper, James Fenimore",1789,1851,1800-1899,115,1.608455,cooper_the-pioneers_1823,2275
Babbitt,1922,"Lewis, Sinclair",1885,1951,1900-1999,84,1.57666,lewis_babbitt_1922,1156
The Aspern Papers,1888,"James, Henry, Jr.",1843,1916,1800-1899,112,1.561658,james_the-aspern-papers_1888,211
Ethan Frome,1911,"Wharton, Edith",1862,1937,1900-1999,83,1.555008,wharton_ethan-frome_1911,4517
The Maltese Falcon,1930,"Hammett, Dashiell",1894,1961,1900-1999,82,1.533357,hammett_the-maltese-falcon_1930,77600
Of One Blood,1902,"Hopkins, Pauline E.",1859,1930,1900-1999,81,1.511705,hopkins_of-one-blood_1902,69255
The Power of Sympathy,1789,"Brown, William Hill",1765,1793,1700-1799,43,1.44912,brown_the-power-of-sympathy_1789,69250
Summer,1917,"Wharton, Edith",1862,1937,1900-1999,78,1.44675,wharton_summer_1917,166
The Virginian,1902,"Wister, Owen",1860,1938,1900-1999,76,1.403447,wister_the-virginian_1902,1298
Maggie,1893,"Crane, Stephen",1871,1900,1800-1899,99,1.358869,crane_maggie_1893,447
The American,1877,"James, Henry, Jr.",1843,1916,1800-1899,99,1.358869,james_the-american_1877,177
Modern Chivalry,1792,"Brackenridge, Hugh Henry",1748,1816,1700-1799,40,1.321006,brackenridge_modern-chivalry_1792,
Mardi,1849,"Melville, Herman",1819,1891,1800-1899,94,1.280874,melville_mardi_1849,13720
Mardi,1849,"Melville, Herman",1819,1891,1800-1899,94,1.280874,melville_mardi_1849,13721
The Rise of Silas Lapham,1885,"Howells, William Dean",1837,1920,1800-1899,92,1.249675,howells_the-rise-of-silas-lapham_1885,154
The Making of Americans,1925,"Stein, Gertrude",1874,1946,1900-1999,68,1.230234,stein_the-making-of-americans_1925,
Hope Leslie,1827,"Sedgwick, Catharine Maria",1789,1867,1800-1899,89,1.202878,sedgwick_hope-leslie_1827,76028
Hope Leslie,1827,"Sedgwick, Catharine Maria",1789,1867,1800-1899,89,1.202878,sedgwick_hope-leslie_1827,76018
Incidents in the Life of a Slave Girl,1861,"Jacobs, Harriet Ann",1813,1897,1800-1899,87,1.17168,jacobs_incidents-in-the-life-of-a_1861,11030
Redburn,1849,"Melville, Herman",1819,1891,1800-1899,86,1.156081,melville_redburn_1849,8118
Iola Leroy,1892,"Harper, Frances Ellen Watkins",1825,1911,1800-1899,84,1.124882,harper_iola-leroy_1892,12352
